"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\Chinput.h", "C++", 0, -30, -4, -5, -39
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\IMAGE.h", "C++", 0, -12, -1, -5, -18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\User.h", "C", -9, 0, -1, -3, -13
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\all.h", "C++", 0, -14, 0, -4, -18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\box.h", "C", -21, 0, 0, -4, -25
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\button.h", "C", -16, 0, 0, -4, -20
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\chat.h", "C++", 0, -24, -3, -6, -33
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\chatcore.h", "C++", 0, -20, 0, -6, -26
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\hz.h", "C", -4, 0, 0, -2, -6
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\input.h", "C", -61, 0, -13, -10, -84
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\login.h", "C", -14, 0, 0, -4, -18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\logindat.h", "C++", 0, -11, 0, -4, -15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\main.h", "C", -15, 0, -1, -3, -19
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\mouse.h", "C", -17, 0, -2, -3, -22
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\output.h", "C", -37, 0, -7, -8, -52
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\picture.h", "C", -29, 0, -3, -5, -37
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\register.h", "C", -12, 0, 0, -3, -15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\save.h", "C++", 0, -11, 0, -4, -15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\storyGen.h", "C", -26, 0, -2, -5, -33
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\storyIn.h", "C++", 0, -41, -8, -9, -58
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\turn.h", "C", -20, 0, 0, -5, -25
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\util_c.h", "C++", 0, -72, -9, -9, -90
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\welcome.h", "C", -12, 0, 0, -4, -16
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\Chinput.c", "C", 430, 0, 42, 35, 507
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\IMAGE.c", "C", 264, 0, 21, 18, 303
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\MOUSE.C", "C", 232, 0, 39, 26, 297
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\box.c", "C", 192, 0, 58, 16, 266
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\button.c", "C", 36, 0, 31, 3, 70
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\chat.c", "C", 254, 0, 36, 47, 337
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\chatcore.c", "C", 159, 0, 45, 30, 234
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\hz.c", "C", 196, 0, 5, 9, 210
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\input.c", "C", 734, 0, 34, 68, 836
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\login.c", "C", 67, 0, 6, 12, 85
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\logindat.c", "C", 97, 0, 0, 7, 104
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\main.c", "C", 115, 0, 141, 29, 285
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\output.c", "C", 379, 0, 52, 44, 475
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\picture.c", "C", 310, 0, 37, 43, 390
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\register.c", "C", 107, 0, 21, 14, 142
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\save.c", "C", 24, 0, 2, 3, 29
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\storyGen.c", "C", 411, 0, 41, 38, 490
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\storyIn.c", "C", 375, 0, 54, 38, 467
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\turn.c", "C", 151, 0, 25, 18, 194
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\util_c.c", "C", 537, 0, 74, 74, 685
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\welcome.c", "C", 53, 0, 17, 6, 76
"Total", "-", 4830, -235, 727, 463, 5785
