"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\Chinput.h", "C++", 30, 0, 4, 5, 39
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\IMAGE.h", "C++", 12, 0, 1, 5, 18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\User.h", "C", 0, 9, 1, 3, 13
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\all.h", "C++", 14, 0, 0, 4, 18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\box.h", "C", 0, 21, 0, 4, 25
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\button.h", "C", 0, 16, 0, 4, 20
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\chat.h", "C++", 24, 0, 3, 6, 33
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\chatcore.h", "C++", 20, 0, 0, 6, 26
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\hz.h", "C", 0, 4, 0, 2, 6
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\input.h", "C", 0, 61, 13, 10, 84
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\login.h", "C", 0, 14, 0, 4, 18
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\logindat.h", "C++", 11, 0, 0, 4, 15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\main.h", "C", 0, 15, 1, 3, 19
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\mouse.h", "C", 0, 17, 2, 3, 22
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\output.h", "C", 0, 37, 7, 8, 52
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\picture.h", "C", 0, 27, 3, 5, 35
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\register.h", "C", 0, 12, 0, 3, 15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\save.h", "C++", 11, 0, 0, 4, 15
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\storyGen.h", "C", 0, 26, 2, 5, 33
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\storyIn.h", "C++", 41, 0, 8, 9, 58
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\turn.h", "C", 0, 20, 0, 5, 25
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\util_c.h", "C++", 72, 0, 9, 9, 90
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\HEAD\welcome.h", "C", 0, 12, 0, 4, 16
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\Chinput.c", "C", 0, -430, -42, -35, -507
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\IMAGE.c", "C", 0, -264, -21, -18, -303
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\MOUSE.C", "C", 0, -232, -39, -26, -297
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\box.c", "C", 0, -192, -58, -16, -266
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\button.c", "C", 0, -36, -31, -3, -70
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\chat.c", "C", 0, -254, -36, -47, -337
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\chatcore.c", "C", 0, -159, -45, -30, -234
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\hz.c", "C", 0, -196, -5, -9, -210
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\input.c", "C", 0, -734, -34, -68, -836
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\login.c", "C", 0, -67, -6, -12, -85
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\logindat.c", "C", 0, -97, 0, -7, -104
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\main.c", "C", 0, -115, -141, -29, -285
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\output.c", "C", 0, -379, -52, -44, -475
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\picture.c", "C", 0, -310, -37, -43, -390
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\register.c", "C", 0, -107, -21, -14, -142
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\save.c", "C", 0, -24, -2, -3, -29
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\storyGen.c", "C", 0, -411, -41, -38, -490
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\storyIn.c", "C", 0, -375, -54, -38, -467
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\turn.c", "C", 0, -151, -25, -18, -194
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\util_c.c", "C", 0, -537, -74, -74, -685
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\welcome.c", "C", 0, -53, -17, -6, -76
"Total", "-", 235, -4832, -727, -463, -5787
